Starting log for Tue Mar 16 17:38:24 2021
DEVICE     ,NETWORK IP     ,STATUS     ,LOG_TIME
home_switch,10.0.50.30,Up,Tue Mar 16 17:38:24 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:38:24 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:38:24 2021
tv,10.0.107.55,Down,Tue Mar 16 17:38:26 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:38:28 2021
home_switch,10.0.50.30,Up,Tue Mar 16 17:39:28 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:39:28 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:39:28 2021
tv,10.0.107.55,Down,Tue Mar 16 17:39:30 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:39:32 2021
home_switch,10.0.50.30,Up,Tue Mar 16 17:40:32 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:40:32 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:40:32 2021
tv,10.0.107.55,Down,Tue Mar 16 17:40:34 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:40:36 2021
home_switch,10.0.50.30,Up,Tue Mar 16 17:41:36 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:41:36 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:41:36 2021
tv,10.0.107.55,Down,Tue Mar 16 17:41:38 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:41:40 2021
home_switch,10.0.50.30,Up,Tue Mar 16 17:42:40 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:42:40 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:42:40 2021
tv,10.0.107.55,Down,Tue Mar 16 17:42:42 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:42:44 2021
home_switch,10.0.50.30,Up,Tue Mar 16 17:43:44 2021
pi_hole,10.0.200.244,Up,Tue Mar 16 17:43:44 2021
esxi,10.0.200.240,Up,Tue Mar 16 17:43:44 2021
tv,10.0.107.55,Down,Tue Mar 16 17:43:46 2021
nothing,10.0.1.1,Down,Tue Mar 16 17:43:48 2021
